id	N	mean	sd	se	sentence	task	reference
AC-01-R0347	10	7	0	0	Secondo te le telecamere hanno registrato l'evento?	acceptability	greco_etal_2020
AC-01-R0348	28	2.321428571	1.634207735	0.308836233	Siete voi tirocinanti che voi stagisti avete interrogato dopo la visita in azienda.	acceptability	chesi_canal_2019
AC-01-R0349	14	1.785714286	1.4769288	0.394725825	Tutti sanno che voi cantavi i salmi in chiesa.	acceptability	mancini_etal_2018
AC-01-R0350	14	1.785714286	1.311403912	0.350487438	Se si verificava una perdita di acqua tu fermavate ogni volta il depuratore.	acceptability	mancini_etal_2018
AC-01-R0351	14	6.214285714	0.892582375	0.238552674	Quando il cane dei vicini abbaiava lui chiamava sempre i carabinieri.	acceptability	mancini_etal_2018
AC-01-R0352	14	2.357142857	1.549547967	0.414134114	Mentre gli invitati giocavano a carte lui suonavano il pianoforte.	acceptability	mancini_etal_2018
AC-01-R0353	12	5.916666667	1.311372171	0.378560538	Di solito loro accettavano i lavori di traduzione solo con pagamento anticipato.	acceptability	mancini_etal_2018
AC-01-R0354	17	5.705882353	1.531531337	0.37145091	Sono gli autori che i lettori hanno ascoltato dopo la presentazione dei libri.	acceptability	chesi_canal_2019
AC-01-R0355	16	4.3125	1.815443013	0.453860753	La conferma dell'ipotesi sono le interpretazioni del risultato.	acceptability	greco_etal_2020
AC-01-R0356	17	6.176470588	1.629236559	0.395147907	Secondo te i vetri hanno filtrato la luce?	acceptability	greco_etal_2020
AC-01-R0357	85	1.764705882	0.983761716	0.10670394	Cosa non sai chi ha scritto in un pomeriggio?	acceptability	villata_etal_2015
AC-01-R0358	17	3.470588235	1.178857872	0.285915031	Secondo te hanno guidato le mamme la macchina?	acceptability	greco_etal_2020
AC-01-R0359	10	7	0	0	Le galline sono scomparse.	acceptability	greco_etal_2020
AC-01-R0360	12	1.666666667	0.984731928	0.284267622	Alla cena di Natale io annunciavamo il matrimonio.	acceptability	mancini_etal_2018
AC-01-R0361	14	6	1.467598771	0.39223227	Alla cena di Natale lui annunciava il matrimonio.	acceptability	mancini_etal_2018
AC-01-R0362	28	5	2.036700309	0.384900179	Sono i camerieri che voi cassieri avete rimproverato dopo la chiusura del ristorante.	acceptability	chesi_canal_2019
AC-01-R0363	30	2.533333333	1.479359911	0.270092931	Siete voi inquilini che voi locatori avete disapprovato durante la riunione di condominio.	acceptability	chesi_canal_2019
AC-01-R0364	12	1.666666667	0.984731928	0.284267622	Quando il dipartimento concedeva dei fondi lui spendevano tutti i soldi in trasferte.	acceptability	mancini_etal_2018
AC-01-R0365	10	7	0	0	I cani hanno abbaiato.	acceptability	greco_etal_2020
AC-01-R0366	14	3.785714286	1.528124614	0.408408482	Anche se il direttore non voleva noi accordavamo il prestito al cliente.	acceptability	mancini_etal_2018
AC-01-R0367	10	2.1	1.100504935	0.348010217	Siete voi attori che voi registi avete incoraggiato prima dello spettacolo.	acceptability	chesi_canal_2019
AC-01-R0368	18	1.666666667	1.084652289	0.255654996	Anche se era successo molto tempo fa noi ricordavo quel giorno con chiarezza.	acceptability	mancini_etal_2018
AC-01-R0369	12	5.25	1.422226168	0.41056133	In ufficio erano tutti scontenti perché noi approvavamo il progetto del direttore.	acceptability	mancini_etal_2018
AC-01-R0370	11	2	0.774596669	0.233549683	Secondo te hanno chiuso i lucchetti la porta?	acceptability	greco_etal_2020
AC-01-R0371	10	3.9	1.728840331	0.546707316	La protezione della fauna sono le recinzioni della proprietà.	acceptability	greco_etal_2020
AC-01-R0372	12	5.666666667	1.302677895	0.376050717	Prima che il comitato venisse eletto voi precisavate in modo chiaro il suo ruolo.	acceptability	mancini_etal_2018
AC-01-R0373	10	5.3	2.213594362	0.7	La caratteristica del convento sono le recite della preghiera.	acceptability	greco_etal_2020
AC-01-R0374	10	6	1.154700538	0.365148372	Hanno parlato i ministri.	acceptability	greco_etal_2020
AC-01-R0375	18	1.555555556	0.855585264	0.201663381	Il falegname è arrivato mentre noi montavo la mensola.	acceptability	mancini_etal_2018
AC-01-R0376	16	2.375	1.024695077	0.256173769	Hanno ricoperto i pannelli il tetto.	acceptability	greco_etal_2020
AC-01-R0377	10	6.7	0.674948558	0.213437475	Secondo te le casalinghe hanno pulito il bagno?	acceptability	greco_etal_2020
AC-01-R0378	11	5.909090909	1.445997611	0.435984684	Secondo te gli strappi della bandiera sono la dimostrazione della sconfitta?	acceptability	greco_etal_2020
AC-01-R0379	14	1.785714286	1.188313053	0.317590022	Tutte le sere voi preparavi la cartella per la mattina.	acceptability	mancini_etal_2018
AC-01-R0380	10	5.3	1.888562063	0.597215762	La minaccia della società sono le ostentazioni del potere.	acceptability	greco_etal_2020
AC-01-R0381	16	6.875	0.5	0.125	Le ragazze sono dimagrite.	acceptability	greco_etal_2020
AC-01-R0382	18	1.555555556	1.096637761	0.258479999	Prima di uscire di casa la sera noi bevevo sempre una birra.	acceptability	mancini_etal_2018
AC-01-R0383	18	5.666666667	1.137592918	0.268133222	La direttrice ha capito che loro firmavano le giustificazioni delle assenze.	acceptability	mancini_etal_2018
AC-01-R0384	11	6.090909091	1.375103302	0.414609245	Secondo te le devastazioni del territorio sono il motivo del malumore?	acceptability	greco_etal_2020
AC-01-R0385	11	6.454545455	1.507556723	0.454545455	Secondo te i ladri hanno svaligiato la villa?	acceptability	greco_etal_2020
AC-01-R0386	17	4.176470588	1.550616576	0.37607976	Hanno dormito le guardie.	acceptability	greco_etal_2020
AC-01-R0387	10	5.4	1.264911064	0.4	Secondo te hanno sbadigliato gli spettatori?	acceptability	greco_etal_2020
AC-01-R0388	11	4.727272727	2.004540301	0.604391641	Le vedute della piazza sono il riflesso del consenso.	acceptability	greco_etal_2020
AC-01-R0389	17	4.823529412	1.467791458	0.355991719	Siete voi testimoni che gli imputati hanno screditato durante tutto il processo.	acceptability	chesi_canal_2019
AC-01-R0390	12	5.5	1.977142106	0.570751764	Al ristorante di Giovanni normalmente lui ordinava del maiale.	acceptability	mancini_etal_2018
AC-01-R0391	17	6.705882353	0.587867532	0.142578819	Le mamme hanno guidato la macchina.	acceptability	greco_etal_2020
AC-01-R0392	85	4.658823529	1.687156958	0.182997866	Quale cameriere non sa quale cuoco ha preparato questo piatto la scorsa settimana?	acceptability	villata_etal_2015
AC-01-R0393	16	4.0625	1.436140662	0.359035165	Secondo te hanno bloccato i tronchi il sentiero?	acceptability	greco_etal_2020
AC-01-R0394	12	1.833333333	1.749458791	0.505025252	Da un po' di tempo voi consideravi il comunismo ormai morto.	acceptability	mancini_etal_2018
AC-01-R0395	10	3.1	1.791957341	0.566666667	Hanno costruito i falegnami il tavolo.	acceptability	greco_etal_2020
AC-01-R0396	14	1.714285714	1.204387583	0.321886121	Per contrastare la crescente criminalità voi difendevi la casa con un recinto.	acceptability	mancini_etal_2018
AC-01-R0397	10	7	0	0	Le mura sono crollate.	acceptability	greco_etal_2020
AC-01-R0398	11	6.181818182	1.401298099	0.422507274	Le interpretazioni del risultato sono la conferma dell'ipotesi.	acceptability	greco_etal_2020
AC-01-R0399	17	6.235294118	1.091410313	0.264705882	Secondo te sono sopravvissute le sorelle?	acceptability	greco_etal_2020
AC-01-R0400	11	4.181818182	1.721521526	0.51905827	Secondo te hanno apprezzato gli adolescenti il videogioco?	acceptability	greco_etal_2020
AC-01-R0401	17	5.823529412	1.810914621	0.43921131	Secondo te i pannelli hanno ricoperto il tetto?	acceptability	greco_etal_2020
AC-01-R0402	10	2.7	1.766981104	0.558768487	Siete voi costumisti che i clienti hanno contattato al banco dei vestiti.	acceptability	chesi_canal_2019
AC-01-R0403	10	6	1.054092553	0.333333333	Secondo te i cambi della rotta sono la motivazione dell'ammutinamento?	acceptability	greco_etal_2020
AC-01-R0404	14	6.642857143	0.633323694	0.169262877	Durante i periodi di stress noi ritrovavamo la tranquillità solo in montagna.	acceptability	mancini_etal_2018
AC-01-R0405	14	6	1.358732441	0.36313652	Quando gli studenti erano troppo indisciplinati loro richiedevano la presenza del preside.	acceptability	mancini_etal_2018
AC-01-R0406	16	4.1875	1.796988221	0.449247055	Hanno sorriso i turisti.	acceptability	greco_etal_2020
AC-01-R0407	17	4.529411765	1.972233729	0.47833694	Secondo te hanno coltivato gli agricoltori il campo?	acceptability	greco_etal_2020
AC-01-R0408	10	2.3	1.494434118	0.472581563	Siete voi autori che voi lettori avete ascoltato dopo la presentazione dei libri.	acceptability	chesi_canal_2019
AC-01-R0409	11	6	1.788854382	0.53935989	Secondo te le bende hanno coperto le ustioni?	acceptability	greco_etal_2020
AC-01-R0410	28	5.464285714	1.502643174	0.283972868	Sono i professori che i presidi hanno elogiato alla riunione d'istituto.	acceptability	chesi_canal_2019
AC-01-R0411	12	5.75	1.912875038	0.552199459	Poiché i pacchi erano voluminosi noi trasportavamo il carico con un furgone.	acceptability	mancini_etal_2018
AC-01-R0412	11	5.818181818	1.470930441	0.443502215	Le stesure della costituzione sono il fondamento dello stato.	acceptability	greco_etal_2020
AC-01-R0413	12	1.75	0.965307299	0.278660215	Di solito loro accettava i lavori di traduzione solo con pagamento anticipato.	acceptability	mancini_etal_2018
AC-01-R0414	11	6.090909091	1.445997611	0.435984684	Secondo te hanno dormito le guardie?	acceptability	greco_etal_2020
AC-01-R0415	12	5	1.279204298	0.369274473	Qualcuno ha detto che loro scrivevano una lettera a casa ogni sera.	acceptability	mancini_etal_2018
AC-01-R0416	18	6.5	0.707106781	0.166666667	Secondo te i turisti hanno sorriso?	acceptability	greco_etal_2020
AC-01-R0417	12	2.166666667	1.466804401	0.423429958	Ogni giorno insieme al falegname loro limava delle assi di legno.	acceptability	mancini_etal_2018
AC-01-R0418	14	1.785714286	1.368804724	0.365828451	Prima di andare a lavorare loro lasciava il bambino dalla nonna.	acceptability	mancini_etal_2018
AC-01-R0419	30	5.4	1.499425177	0.273756331	Sono i turisti che i bagnini hanno aiutato sulla spiaggia affollata.	acceptability	chesi_canal_2019
AC-01-R0420	12	5.166666667	1.403458931	0.405143696	Se la banca non accordava il prestito lui rischiava il fallimento.	acceptability	mancini_etal_2018
AC-01-R0421	10	5.6	1.776388346	0.561743318	Il motivo del malumore sono le devastazioni del territorio.	acceptability	greco_etal_2020
AC-01-R0422	16	7	0	0	Le telecamere hanno registrato l'evento.	acceptability	greco_etal_2020
AC-01-R0423	30	2.766666667	1.977168532	0.360979935	Sono i politici che voi sindacalisti avete criticato alla manifestazione in piazza.	acceptability	chesi_canal_2019
AC-01-R0424	11	6.454545455	1.507556723	0.454545455	Secondo te le ragazze hanno pattinato?	acceptability	greco_etal_2020
AC-01-R0425	11	7	0	0	Le attrici sono tornate.	acceptability	greco_etal_2020
AC-01-R0426	17	6.176470588	1.286239389	0.311958874	Secondo te sono appassite le piante?	acceptability	greco_etal_2020
AC-01-R0427	12	6	1.477097892	0.426401433	Tutti sanno che tu cantavi i salmi in chiesa.	acceptability	mancini_etal_2018
AC-01-R0428	10	4.7	1.766981104	0.558768487	Sono gli avvocati che i giudici hanno evitato alla festa di inaugurazione.	acceptability	chesi_canal_2019
AC-01-R0429	17	5.705882353	1.829094922	0.44362068	Secondo te le potature della vigna sono il simbolo della stagione?	acceptability	greco_etal_2020
AC-01-R0430	85	1.952941176	1.262139928	0.136898296	Cosa non sai quale cuoco ha preparato la scorsa settimana?	acceptability	villata_etal_2015
AC-01-R0431	11	5.909090909	1.513574937	0.456360014	Le studentesse hanno copiato il quaderno.	acceptability	greco_etal_2020
AC-01-R0432	18	1.444444444	0.783823376	0.184748942	Le ragazze si arrabbiavano se noi limitavo le loro uscite durante la settimana.	acceptability	mancini_etal_2018
AC-01-R0433	17	3.647058824	1.998160919	0.484625207	Hanno guardato gli anziani la televisione.	acceptability	greco_etal_2020
AC-01-R0434	10	5.1	2.078995484	0.657436097	I prosciugamenti del canale sono la protezione della città.	acceptability	greco_etal_2020
AC-01-R0435	18	6.944444444	0.23570226	0.055555556	I ministri hanno parlato.	acceptability	greco_etal_2020
AC-01-R0436	14	2.214285714	2.006856379	0.536354928	Prima di andare a lavorare lui lasciavano il bambino dalla nonna.	acceptability	mancini_etal_2018
AC-01-R0437	85	1.976470588	1.174900914	0.127435897	Quale articolo sai chi ha scritto in un pomeriggio?	acceptability	villata_etal_2015
AC-01-R0438	17	3.058823529	1.919328927	0.465505641	Siete voi critici che voi artisti avete impressionato al concorso internazionale.	acceptability	chesi_canal_2019
AC-01-R0439	30	2.9	1.8448437	0.336820836	Siete voi professori che voi presidi avete elogiato alla riunione d'istituto.	acceptability	chesi_canal_2019
AC-01-R0440	12	6	0.953462589	0.275240941	Quando il dipartimento concedeva dei fondi voi spendevate tutti i soldi in trasferte.	acceptability	mancini_etal_2018
AC-01-R0441	11	7	0	0	I neonati hanno bevuto il latte.	acceptability	greco_etal_2020
AC-01-R0442	18	4.722222222	1.872574684	0.441370086	Hanno mentito i giornalisti.	acceptability	greco_etal_2020
AC-01-R0443	16	5.75	1.390443574	0.347610894	Secondo te sono ingiallite le foglie?	acceptability	greco_etal_2020
AC-01-R0444	14	1.857142857	1.292412345	0.345411728	Dicono che in passato lui rifiutavano sempre il sostegno degli altri.	acceptability	mancini_etal_2018
AC-01-R0445	11	4.636363636	1.501514387	0.452723622	Secondo te la conclusione del restauro sono le tinteggiature della stanza?	acceptability	greco_etal_2020
AC-01-R0446	11	6.363636364	1.80403588	0.543937284	Le automobili hanno sbandato.	acceptability	greco_etal_2020
AC-01-R0447	11	6.181818182	0.750757194	0.226361811	Sono atterrati gli elicotteri.	acceptability	greco_etal_2020
AC-01-R0448	10	5.9	1.286683938	0.406885187	Secondo te le tinteggiature della stanza sono la conclusione del restauro?	acceptability	greco_etal_2020
AC-01-R0449	16	3.5	1.673320053	0.418330013	Secondo te hanno aperto i commessi il negozio?	acceptability	greco_etal_2020
AC-01-R0450	16	2.625	1.586400538	0.396600134	Hanno copiato le studentesse il quaderno.	acceptability	greco_etal_2020
AC-01-R0451	11	6.363636364	1.501514387	0.452723622	Secondo te i giudici sono impazziti?	acceptability	greco_etal_2020
AC-01-R0452	14	1.928571429	1.491735474	0.398683075	Quando il dipartimento concedeva dei fondi tu spendevate tutti i soldi in trasferte.	acceptability	mancini_etal_2018
AC-01-R0453	17	3.941176471	2.794427227	0.677748154	Secondo te l'identità dell'auditorium sono le pulizie del locale?	acceptability	greco_etal_2020
AC-01-R0454	11	6	1.549193338	0.467099366	Le dichiarazioni della protesta sono la testimonianza del malessere.	acceptability	greco_etal_2020
AC-01-R0455	17	4.411764706	2.123052741	0.514915924	Siete voi marinai che i passeggeri hanno avvertito prima del naufragio.	acceptability	chesi_canal_2019
AC-01-R0456	38	1.131578947	0.414014795	0.067162068	Della giuria il colpevole sia il presidente chi si domanda.	acceptability	greco_etal_2020
AC-01-R0457	12	6.25	1.055289706	0.304635898	Durante i periodi di stress loro ritrovavano la tranquillità solo in montagna.	acceptability	mancini_etal_2018
AC-01-R0458	12	1.416666667	0.900336637	0.2599048	Mentre il bambino dormiva tu pulivate la cucina.	acceptability	mancini_etal_2018
AC-01-R0459	10	5.9	1.449137675	0.458257569	Secondo te le manipolazioni della votazione sono il connotato della dittatura?	acceptability	greco_etal_2020
AC-01-R0460	10	7	0	0	Le bambine hanno mangiato il dolce.	acceptability	greco_etal_2020
AC-01-R0461	17	6.941176471	0.242535625	0.058823529	Le ragazze hanno pattinato.	acceptability	greco_etal_2020
AC-01-R0462	12	1.583333333	1.240112409	0.357989617	Se i medicinali davano effetti collaterali loro sospendeva subito il trattamento.	acceptability	mancini_etal_2018
AC-01-R0463	12	1.583333333	1.164500153	0.336162238	La direttrice ha capito che tu firmavate le giustificazioni delle assenze.	acceptability	mancini_etal_2018
AC-01-R0464	85	4.423529412	2.12343203	0.230318541	Cosa credi che l'ingegnere ha costruito negli anni Sessanta?	acceptability	villata_etal_2015
AC-01-R0465	12	1.666666667	1.154700538	0.333333333	Qualcuno ha detto che voi scrivevi una lettera a casa ogni sera.	acceptability	mancini_etal_2018
AC-01-R0466	14	5.714285714	0.913873533	0.244242976	Prima di spegnere il computer loro salvavano tutto sul server.	acceptability	mancini_etal_2018
AC-01-R0467	14	1.714285714	1.204387583	0.321886121	Tutte le sere tu preparavate la cartella per la mattina.	acceptability	mancini_etal_2018
AC-01-R0468	11	5.454545455	1.507556723	0.454545455	Secondo te hanno danzato gli invitati?	acceptability	greco_etal_2020
AC-01-R0469	16	6.25	1.390443574	0.347610894	Secondo te le musiciste hanno ascoltato il concerto?	acceptability	greco_etal_2020
AC-01-R0470	12	1.25	0.452267017	0.130558242	Prima della fine di ogni mese tu concludevate la lavorazione di tutti i capitoli.	acceptability	mancini_etal_2018
AC-01-R0471	17	5.470588235	1.874754886	0.454694848	Hanno frenato i camion.	acceptability	greco_etal_2020
AC-01-R0472	10	6.7	0.674948558	0.213437475	Secondo te le patate sono ammuffite?	acceptability	greco_etal_2020
AC-01-R0473	16	6.875	0.341565026	0.085391256	Le patate sono ammuffite.	acceptability	greco_etal_2020
AC-01-R0474	10	6.8	0.632455532	0.2	Secondo te le guardie hanno dormito?	acceptability	greco_etal_2020
AC-01-R0475	10	6.2	0.788810638	0.249443826	Secondo te hanno reagito i soldati?	acceptability	greco_etal_2020
AC-01-R0476	18	5.888888889	1.182663439	0.278756446	Si vociferava che tu affidavi molte responsabilità al nuovo arrivato.	acceptability	mancini_etal_2018
AC-01-R0477	18	3.444444444	1.854159782	0.437029652	Secondo te hanno ascoltato le musiciste il concerto?	acceptability	greco_etal_2020
AC-01-R0478	12	1.833333333	1.267304465	0.365839287	Prima di evadere un ordine loro contava sempre i pezzi in ogni scatola.	acceptability	mancini_etal_2018
AC-01-R0479	85	4.929411765	1.624135193	0.176162196	Chi si chiede quale ingegnere ha costruito questo edificio negli anni Sessanta?	acceptability	villata_etal_2015
AC-01-R0480	11	6.909090909	0.301511345	0.090909091	Le ginnaste hanno gareggiato.	acceptability	greco_etal_2020
AC-01-R0481	14	4.714285714	1.815682598	0.485261586	Quando ne avevamo bisogno io organizzavo sempre dei corsi per stranieri.	acceptability	mancini_etal_2018
AC-01-R0482	10	5.4	1.173787791	0.371184291	Secondo te hanno sbandato le automobili?	acceptability	greco_etal_2020
AC-01-R0483	12	1.416666667	0.900336637	0.2599048	Se la banca non accordava il prestito tu rischiavate il fallimento.	acceptability	mancini_etal_2018
AC-01-R0484	10	3.7	1.946506843	0.61553951	Siete voi turisti che i bagnini hanno aiutato sulla spiaggia affollata.	acceptability	chesi_canal_2019
AC-01-R0485	17	5.294117647	1.72353945	0.418019718	Sono gli idraulici che gli elettricisti hanno visto nella casa in ristrutturazione.	acceptability	chesi_canal_2019
AC-01-R0486	10	2.9	1.370320319	0.433333333	Hanno bloccato i tronchi il sentiero.	acceptability	greco_etal_2020
AC-01-R0487	85	2.188235294	1.40147981	0.152011828	Quale articolo sai quale giornalista ha scritto in un pomeriggio?	acceptability	villata_etal_2015
AC-01-R0488	17	5.235294118	1.640480561	0.397874978	Sono i pagliacci che i domatori hanno preceduto all'ingresso in sala.	acceptability	chesi_canal_2019
AC-01-R0489	11	6.545454545	1.507556723	0.454545455	Secondo te le foglie sono ingiallite?	acceptability	greco_etal_2020
AC-01-R0490	10	2	1.054092553	0.333333333	Siete voi cantanti che i musicisti hanno riconosciuto al concerto di beneficenza.	acceptability	chesi_canal_2019
AC-01-R0491	17	4.588235294	2.1811357	0.52900311	Siete voi inquilini che i locatori hanno disapprovato durante la riunione di condominio.	acceptability	chesi_canal_2019
AC-01-R0492	18	5.722222222	1.227410261	0.289303373	Per contrastare la crescente criminalità tu difendevi la casa con un recinto.	acceptability	mancini_etal_2018
AC-01-R0493	28	2.357142857	1.366647309	0.258272065	Siete voi scrittori che voi editori avete sollecitato alla fine della fiera.	acceptability	chesi_canal_2019
AC-01-R0494	11	2.545454545	1.752919642	0.528525158	Hanno riempito i mobili la stanza.	acceptability	greco_etal_2020
AC-01-R0495	14	2	1.240347346	0.331496772	Da un po' di tempo loro considerava il comunismo ormai morto.	acceptability	mancini_etal_2018
AC-01-R0496	12	1.833333333	1.029857301	0.297294195	Si vociferava che lui affidavano molte responsabilità al nuovo arrivato.	acceptability	mancini_etal_2018
AC-01-R0497	18	4	1.940285	0.45732956	Secondo te l'annuncio del disastro sono le lacerazioni della diga?	acceptability	greco_etal_2020
AC-01-R0498	10	4.1	2.131770261	0.674124947	Siete voi critici che gli artisti hanno impressionato al concorso internazionale.	acceptability	chesi_canal_2019
AC-01-R0499	10	4.9	1.663329993	0.525991128	Secondo te il riflesso del consenso sono le vedute della piazza?	acceptability	greco_etal_2020
AC-01-R0500	11	2.909090909	1.445997611	0.435984684	Hanno mangiato le bambine il dolce.	acceptability	greco_etal_2020
AC-01-R0501	30	5.133333333	1.795268366	0.32776966	Sono i consulenti che voi amministratori avete offeso nella sala conferenze.	acceptability	chesi_canal_2019
AC-01-R0502	18	3	1.748949264	0.412231295	Secondo te hanno rinfrescato i ventilatori la stanza?	acceptability	greco_etal_2020
AC-01-R0503	11	6.818181818	0.404519917	0.121967344	Gli aerei hanno trasportato l'equipaggio.	acceptability	greco_etal_2020
AC-01-R0504	30	1.366666667	0.668675135	0.122082818	Siete voi banchieri che voi funzionari avete lodato davanti alla folla.	acceptability	chesi_canal_2019
AC-01-R0505	85	1.705882353	0.910566666	0.098764822	Cosa ti chiedi quale ingegnere ha costruito negli anni Sessanta?	acceptability	villata_etal_2015
AC-01-R0506	10	5.5	1.269295518	0.401386486	Secondo te la giustificazione della ritirata sono gli stravolgimenti della strategia?	acceptability	greco_etal_2020
AC-01-R0507	16	6.4375	1.030776406	0.257694102	Secondo te i clienti sono soddisfatti?	acceptability	greco_etal_2020
AC-01-R0508	14	4.857142857	1.791309914	0.478747712	Con dell'olio rimasto io friggevo le melanzane.	acceptability	mancini_etal_2018
AC-01-R0509	17	5.941176471	1.560071642	0.378372951	Secondo te le dichiarazioni della protesta sono la testimonianza del malessere?	acceptability	greco_etal_2020
AC-01-R0510	16	6.0625	1.569235483	0.392308871	Sono sprofondati i relitti.	acceptability	greco_etal_2020
AC-01-R0511	16	6.3125	1.621470526	0.405367631	Secondo te le mucche hanno muggito?	acceptability	greco_etal_2020
AC-01-R0512	12	1.666666667	0.778498944	0.224733287	Tutte le sere loro preparava la cartella per la mattina.	acceptability	mancini_etal_2018
AC-01-R0513	14	1.857142857	1.292412345	0.345411728	Durante il concorso loro selezionava sempre le ragazze più belle.	acceptability	mancini_etal_2018
AC-01-R0514	17	3.823529412	2.404040716	0.583065518	Secondo te la delimitazione del porto sono le segnalazioni del pericolo?	acceptability	greco_etal_2020
AC-01-R0515	17	5.529411765	1.504893977	0.364990401	Secondo te le lacerazioni della diga sono l'annuncio del disastro?	acceptability	greco_etal_2020
AC-01-R0516	14	6.571428571	0.646206173	0.172705864	Poiché i pacchi erano voluminosi loro trasportavano il carico con un furgone.	acceptability	mancini_etal_2018
AC-01-R0517	85	4.976470588	1.527341844	0.165663483	Chi si chiede chi ha costruito questo edificio negli anni Sessanta?	acceptability	villata_etal_2015
AC-01-R0518	28	4.857142857	1.64911392	0.311653237	Siete voi autori che i lettori hanno ascoltato dopo la presentazione dei libri.	acceptability	chesi_canal_2019
AC-01-R0519	18	6.666666667	0.594088526	0.140028008	Durante la partita della nazionale voi indossavate la maglia azzurra.	acceptability	mancini_etal_2018
AC-01-R0520	28	5.25	1.755942292	0.331841902	Sono i banchieri che i funzionari hanno lodato davanti alla folla.	acceptability	chesi_canal_2019
AC-01-R0521	11	6.909090909	0.301511345	0.090909091	Gli spettatori hanno sbadigliato.	acceptability	greco_etal_2020
AC-01-R0522	14	2	1.300887271	0.347676748	Durante il concorso lui selezionavano sempre le ragazze più belle.	acceptability	mancini_etal_2018
AC-01-R0523	11	6.090909091	1.445997611	0.435984684	I pannelli hanno ricoperto il tetto.	acceptability	greco_etal_2020
AC-01-R0524	11	2.909090909	1.814086296	0.546967598	L'identità dell'auditorium sono le pulizie del locale.	acceptability	greco_etal_2020
AC-01-R0525	12	4.416666667	2.020725942	0.583333333	Prima che il presidente andasse in pensione tu ottenevi dei vantaggi.	acceptability	mancini_etal_2018
AC-01-R0526	18	6.277777778	1.127493605	0.265752791	Quando le cose si mettevano male tu esprimevi la rabbia piangendo.	acceptability	mancini_etal_2018
AC-01-R0527	17	6.941176471	0.242535625	0.058823529	Le guardie hanno dormito.	acceptability	greco_etal_2020
AC-01-R0528	18	5.611111111	1.819466272	0.428852313	Secondo te sono scomparse le galline?	acceptability	greco_etal_2020
AC-01-R0529	12	5.583333333	1.164500153	0.336162238	Anche se era successo molto tempo fa io ricordavo quel giorno con chiarezza.	acceptability	mancini_etal_2018
AC-01-R0530	11	6.363636364	0.809039835	0.243934688	Sono scomparse le galline.	acceptability	greco_etal_2020
AC-01-R0531	12	1.333333333	0.887625365	0.256235372	Durante il concorso tu selezionavate sempre le ragazze più belle.	acceptability	mancini_etal_2018
AC-01-R0532	18	1.833333333	1.58113883	0.372677996	Mentre il pubblico applaudiva loro continuava a gioire di tanto successo.	acceptability	mancini_etal_2018
AC-01-R0533	85	5.129411765	1.429187542	0.155017154	Chi non sa quale cuoco ha preparato questo piatto la scorsa settimana?	acceptability	villata_etal_2015
AC-01-R0534	38	4.078947368	1.148008356	0.186231547	Chi sia il colpevole si domanda il presidente della giuria.	acceptability	greco_etal_2020
AC-01-R0535	10	5.3	1.766981104	0.558768487	Secondo te le raffigurazioni della vittoria sono l'identificazione della nazion	acceptability	greco_etal_2020
AC-01-R0536	10	7	0	0	I poliziotti sono intervenuti.	acceptability	greco_etal_2020
AC-01-R0537	17	3.588235294	1.460257834	0.354164546	Secondo te il presupposto della sentenza sono le verifiche del danno?	acceptability	greco_etal_2020
AC-01-R0538	10	6.9	0.316227766	0.1	I clienti sono soddisfatti.	acceptability	greco_etal_2020
AC-01-R0539	18	1.555555556	0.921777198	0.217264969	Appena la mamma usciva di casa io accendevamo il televisore in cucina.	acceptability	mancini_etal_2018
AC-01-R0540	11	4.272727273	1.555050423	0.468865344	Secondo te hanno guardato gli anziani la televisione?	acceptability	greco_etal_2020
AC-01-R0541	30	4.466666667	1.995397002	0.364307983	Sono i pagliacci che voi domatori avete preceduto all'ingresso in sala.	acceptability	chesi_canal_2019
AC-01-R0542	17	6.764705882	0.752446989	0.182495201	Le signore hanno pranzato.	acceptability	greco_etal_2020
AC-01-R0543	11	6.909090909	0.301511345	0.090909091	I petardi sono scoppiati.	acceptability	greco_etal_2020
AC-01-R0544	10	4.4	2.221110833	0.702376917	La documentazione del crimine sono le trascrizioni dell'intercettazione.	acceptability	greco_etal_2020
AC-01-R0545	14	1.785714286	1.188313053	0.317590022	Quando la ragazza spendeva troppo loro copriva le sue spese.	acceptability	mancini_etal_2018
AC-01-R0546	12	2.083333333	1.880924982	0.542976272	Il falegname è arrivato mentre io montavamo la mensola.	acceptability	mancini_etal_2018
AC-01-R0547	30	5.333333333	1.728729518	0.315621384	Sono i ministri che i deputati hanno insultato durante la sessione parlamentare.	acceptability	chesi_canal_2019
AC-01-R0548	14	6.714285714	0.611249846	0.163363393	Per produrre questi abiti lui impiegava solo stoffe di prima qualità.	acceptability	mancini_etal_2018
AC-01-R0549	14	5.214285714	1.311403912	0.350487438	Anche se il direttore non voleva io accordavo il prestito al cliente.	acceptability	mancini_etal_2018
AC-01-R0550	10	6.5	0.707106781	0.223606798	Secondo te gli invitati hanno danzato?	acceptability	greco_etal_2020
AC-01-R0551	11	6	1.483239697	0.447213595	Secondo te sono scappati i nemici?	acceptability	greco_etal_2020
AC-01-R0552	17	5.235294118	1.480262298	0.359016342	Secondo te hanno parlato i ministri?	acceptability	greco_etal_2020
AC-01-R0553	17	6.411764706	0.939336437	0.22782255	Le decorazioni della villa sono il motivo dello stupore.	acceptability	greco_etal_2020
